shirt,32,53,clothes,0.639999985694885
shirt,32,32,clothes,0.639999985694885
shirt,32,53,clothes,0.639999985694885
shirt,32,32,clothes,0.639999985694885
kdsl,43,23,clothes,0.859999980777502
shirt,32,32,clothes,0.639999985694885
kdsl,43,23,clothes,0.859999980777502
shirt,32,4,clothes,0.639999985694885
shirt,32,32,clothes,0.639999985694885
t-shirt,32,32,clothes,0.639999985694885
shirt,32,53,clothes,0.639999985694885
kdsl,43,23,clothes,0.859999980777502
shirt,32,32,clothes,0.639999985694885
shiet,32,12,clothes,0.639999985694885
